,name,total.pop,married,dependent,veteran,first-generation
68,"arizona,apache",71518,11.2077789,32.062436,1.432958,67.6642052
69,"arizona,cochise",131346,13.1177547,36.9127517,0.5186089,51.9570223
70,"arizona,coconino",134421,14.7674254,37.4448997,2.8603173,45.3544022
71,"arizona,gila",53597,10.3942154,70.4338994,0,25.1975648
72,"arizona,graham",37220,18.452381,43.622449,0,44.8113208
73,"arizona,greenlee",8437,20.7838907,47.0334412,0.5753326,47.3882156
74,"arizona,maricopa",3817117,15.4839942,44.0789513,0.8374513,49.5740529
75,"arizona,mohave",200186,28.1795511,37.1571072,0,46.7914439
76,"arizona,navajo",107449,13.162171,37.3415665,1.039974,57.3511037
77,"arizona,pima",980263,12.2430742,63.6282395,1.2511171,45.8249497
78,"arizona,pinal",375770,18.4829148,36.8872387,1.3986593,47.2017662
79,"arizona,santa cruz",47420,18.4769333,29.8686437,1.835492,50.2533051
80,"arizona,yavapai",211033,17.2143179,45.9938753,1.7599973,47.1864442
81,"arizona,yuma",195751,17.2143179,45.9938753,1.7599973,47.1864442
82,"arkansas,arkansas",19019,18.6715867,55.7687577,0.4674047,36.1643836
83,"arkansas,ashley",21853,0,90.6593407,0,0
84,"arkansas,baxter",41513,28.595475,18.6246844,2.381306,49.9742292
85,"arkansas,benton",221339,16.7235495,66.2116041,0,37.5451264
86,"arkansas,boone",36903,18.5245058,40.1253479,1.1002962,56.29968
87,"arkansas,bradley",11508,11.5827338,61.1356629,0.8633094,34.5642229
88,"arkansas,calhoun",5368,23.3740657,21.4061967,3.092144,49.7285751
89,"arkansas,carroll",27446,21.664995,50,0.6519559,47.2205968
90,"arkansas,chicot",11800,29.3041468,16.5660606,2.2021968,55.5041674
91,"arkansas,clark",22995,40.2439024,0,0,47.761194
92,"arkansas,clay",16083,19.3340917,19.5266278,3.092144,52.2080376
93,"arkansas,cleburne",25970,23.0325604,30.595939,0,53.9325843
94,"arkansas,cleveland",8689,10.5882353,60.5882353,0,34.5323741
95,"arkansas,columbia",24552,0,98.3606557,0,16.8403393
96,"arkansas,conway",21273,29.6130952,27.2321429,0,64.6017699
97,"arkansas,craighead",96443,13.8098133,43.4156114,1.9394189,51.8038274
98,"arkansas,crawford",61948,15.9482759,55.5316092,0.862069,45.3478625
99,"arkansas,crittenden",50902,13.2096489,58.6642901,0.620898,40.7944837
100,"arkansas,cross",17870,14.5830133,49.6809108,1.0355282,46.5102706
101,"arkansas,dallas",8116,0,94.977169,0,39.3574297
102,"arkansas,desha",13008,22.5142857,18.4,2.0857143,56.7853366
103,"arkansas,drew",18509,4.9107143,80.2083333,0,48.0263158
104,"arkansas,faulkner",113237,21.9729069,40.5944479,0.627205,49.8305622
105,"arkansas,franklin",18125,21.4506056,23.3125555,2.2028146,53.8002268
106,"arkansas,fulton",12245,8.8908155,63.4351763,0,46.1109922
107,"arkansas,garland",96024,17.2801131,36.2885782,4.1096795,54.4405619
108,"arkansas,grant",17853,12.4410612,52.0984391,2.1099461,44.6524614
109,"arkansas,greene",42090,8.3756345,38.071066,0,43.7304075
110,"arkansas,hempstead",22609,10.7732937,47.3979035,0.7590095,57.3613241
111,"arkansas,hot spring",32923,16.3265306,42.8571429,0,63.0630631
112,"arkansas,howard",13789,23.3740657,21.4061967,3.092144,49.7285751
113,"arkansas,independence",36647,0.9680542,96.6118103,0,18.3838384
114,"arkansas,izard",13696,20.2702703,26.1261261,0,47.3684211
115,"arkansas,jackson",17997,16.045601,28.6298615,1.0747874,55.0418608
116,"arkansas,jefferson",77435,10.2719033,36.2537764,0,44.0594059
117,"arkansas,johnson",25540,24.8600224,38.6338186,1.7917133,46.025641
118,"arkansas,lafayette",7645,11.6504854,35.9223301,0,57.3333333
119,"arkansas,lawrence",17415,34,28,0,0
120,"arkansas,lee",10424,26.0617761,37.1299871,5.4054054,60.0909091
121,"arkansas,lincoln",14134,14.1114058,51.7241379,0.795756,43.5723115
122,"arkansas,little river",13171,25.7731959,28.8659794,0,35.7142857
123,"arkansas,logan",22353,18.699187,38.6178862,0,50.2415459
124,"arkansas,lonoke",68356,11.9828816,55.064194,0.9747979,50.7764836
125,"arkansas,madison",15717,16.9802845,32.2130897,1.7340863,49.4249151
126,"arkansas,marion",16653,14.2272262,60.525418,0.6482429,45.93611
127,"arkansas,miller",43462,14.2272262,60.525418,0.6482429,45.93611
128,"arkansas,mississippi",46480,19.7881775,46.9847763,1.0821953,35.7464789
129,"arkansas,monroe",8149,14.3369176,53.7634409,0,51.7241379
130,"arkansas,montgomery",9487,9.3256599,62.9713431,0.4820268,36.6508827
131,"arkansas,nevada",8997,19.1452992,45.4131054,2.1082621,41.2688442
132,"arkansas,newton",8330,28.75,22.5,0,0
133,"arkansas,ouachita",26120,8.0162187,69.3497346,1.2947449,43.5309707
134,"arkansas,perry",10445,15.3657339,30.4860088,0,53.9209726
135,"arkansas,phillips",21757,24.2494824,24.1638796,1.1148272,59.2464437
136,"arkansas,pike",11291,23.8482385,31.4363144,0,54.3973941
137,"arkansas,poinsett",24583,16.5077366,57.5401824,0,56.8269921
138,"arkansas,polk",20662,0,29.4117647,0,0
139,"arkansas,pope",61754,0,0,0,0
140,"arkansas,prairie",8715,7.1380244,67.7774019,0.473613,48.5064935
141,"arkansas,pulaski",382748,2.0294809,91.4548174,0.2136296,25.5496413
142,"arkansas,randolph",17969,9.9916644,52.1097949,1.902385,58.2144457
149,"arkansas,st francis",28258,13.3333333,39.6969697,0,52.5925926
143,"arkansas,saline",107118,11.2224489,55.773249,1.2767437,49.2485234
144,"arkansas,scott",11233,17.2143179,45.9938753,1.7599973,47.1864442
145,"arkansas,searcy",8195,17.2143179,45.9938753,1.7599973,47.1864442
146,"arkansas,sebastian",125744,17.2143179,45.9938753,1.7599973,47.1864442
147,"arkansas,sevier",17058,17.2143179,45.9938753,1.7599973,47.1864442
148,"arkansas,sharp",17264,17.2143179,45.9938753,1.7599973,47.1864442
150,"arkansas,stone",12394,17.2143179,45.9938753,1.7599973,47.1864442
151,"arkansas,union",41639,17.2143179,45.9938753,1.7599973,47.1864442
152,"arkansas,van buren",17295,17.2143179,45.9938753,1.7599973,47.1864442
153,"arkansas,washington",203065,17.2143179,45.9938753,1.7599973,47.1864442
154,"arkansas,white",77076,17.2143179,45.9938753,1.7599973,47.1864442
155,"arkansas,woodruff",7260,17.2143179,45.9938753,1.7599973,47.1864442
156,"arkansas,yell",22185,17.2143179,45.9938753,1.7599973,47.1864442
157,"california,alameda",1510271,13.7719298,65.6140351,0,52.4439919
158,"california,alpine",1175,15.3130489,51.7819187,0,54.7819304
159,"california,amador",38091,15.530303,35.2272727,0,40.3669725
160,"california,butte",220000,0,0,0,0
161,"california,calaveras",45578,18.0641552,44.4993884,0.8438819,50.2542823
162,"california,colusa",21419,13.6416953,33.0710043,1.4060503,60.0824421
163,"california,contra costa",1049025,7.622739,17.0111972,0.8613264,63.5908441
164,"california,del norte",28610,17.377723,72.5807056,0,38.6010584
165,"california,el dorado",181058,18.1786394,44.8231021,1.8311005,46.7676091
166,"california,fresno",930450,16.6934819,52.7272222,0,48.8964303
167,"california,glenn",28122,16.6473512,36.4206371,1.7532,58.098257
168,"california,humboldt",134623,13.0153999,60.1589667,1.1922504,43.933518
169,"california,imperial",174528,0,0,0,0
170,"california,inyo",18546,12.8603983,39.2846527,0.9610621,51.1869259
171,"california,kern",839631,15.5969118,56.2987038,0.8289375,39.1727565
172,"california,kings",152982,18.2795699,44.0860215,0,58.9041096
173,"california,lake",64665,0,32.5,0,0
174,"california,lassen",34895,0,35.483871,0,40
175,"california,los angeles",9818605,14.451658,57.2530134,0.9730083,46.7554369
176,"california,madera",150865,32.8862394,35.4694486,1.2916046,47.8534631
177,"california,marin",252409,20.3125,22.8885135,1.7314189,59.0100111
178,"california,mariposa",18251,20.8316919,40.9250436,1.4244942,40.9467633
179,"california,mendocino",87841,20,70.2727463,0,27.903502
180,"california,merced",255793,14.7638804,58.3979515,1.6630401,41.155868
181,"california,modoc",9686,29.4515338,8.7441794,3.0455337,54.1667037
182,"california,mono",14202,18.1488397,36.0692228,3.2058665,43.8129743
183,"california,monterey",415057,6.015726,79.1146058,0.22081,37.5848922
184,"california,napa",136484,9.5548961,67.7744807,0.2967359,43.4733514
185,"california,nevada",98764,10.5074894,52.3362397,2.2132797,54.5429131
186,"california,orange",3010232,17.1568628,82.8431373,0,0
187,"california,placer",348432,17.5595238,50.7936508,0,50.3529412
188,"california,plumas",20007,12.808306,27.8556348,1.7446471,52.0182785
189,"california,riverside",2189641,8.4059043,63.3205676,1.0105871,44.5897159
190,"california,sacramento",1418788,15.1474896,37.1887561,0,57.9014729
191,"california,san benito",55269,25.6908527,17.4782031,0,54.6650525
192,"california,san bernardino",2035210,18.1240064,36.4069952,1.7488076,59.9243856
193,"california,san diego",3095313,16.2287481,27.6661515,3.7094281,50.9765625
194,"california,san francisco",805235,12.3691814,53.0014692,1.4473822,46.8189551
195,"california,san joaquin",685306,15.8629054,50.7305405,0,42.011798
196,"california,san luis obispo",269637,0,29.2929293,0,43.5897436
197,"california,san mateo",718451,13.7115188,62.8325446,0.6991452,29.4865403
198,"california,santa barbara",423895,20.4413076,38.0158215,2.5646204,55.6572919
199,"california,santa clara",1781642,23.4375,27.2058824,0,58
200,"california,santa cruz",262382,16.4096014,40.4452016,1.5491235,44.9670146
201,"california,shasta",177223,17.2143179,45.9938753,1.7599973,47.1864442
202,"california,sierra",3240,17.2143179,45.9938753,1.7599973,47.1864442
203,"california,siskiyou",44900,17.2143179,45.9938753,1.7599973,47.1864442
204,"california,solano",413344,17.2143179,45.9938753,1.7599973,47.1864442
205,"california,sonoma",483878,17.2143179,45.9938753,1.7599973,47.1864442
206,"california,stanislaus",514453,17.2143179,45.9938753,1.7599973,47.1864442
207,"california,sutter",94737,17.2143179,45.9938753,1.7599973,47.1864442
208,"california,tehama",63463,17.2143179,45.9938753,1.7599973,47.1864442
209,"california,trinity",13786,17.2143179,45.9938753,1.7599973,47.1864442
210,"california,tulare",442179,17.2143179,45.9938753,1.7599973,47.1864442
211,"california,tuolumne",55365,17.2143179,45.9938753,1.7599973,47.1864442
212,"california,ventura",823318,17.2143179,45.9938753,1.7599973,47.1864442
213,"california,yolo",200849,17.2143179,45.9938753,1.7599973,47.1864442
214,"california,yuba",72155,17.2143179,45.9938753,1.7599973,47.1864442
215,"colorado,adams",441603,21.8408509,20.4434687,0,52.3991116
216,"colorado,alamosa",15445,17.7602008,48.8516505,1.4973626,45.0716943
217,"colorado,arapahoe",572003,0,96.2025317,0,24.3902439
218,"colorado,archuleta",12084,14.1807495,59.9559148,0.7347539,57.9146919
219,"colorado,baca",3788,29.4515338,8.7441794,3.0455337,54.1667037
220,"colorado,bent",6499,0,0,0,0
221,"colorado,boulder",294567,24.1212268,49.2223748,0.7748656,49.7569863
222,"colorado,chaffee",17809,17.6956929,51.1722688,0,51.69817
223,"colorado,cheyenne",1836,19.2292628,42.235154,0.5510435,62.0934009
224,"colorado,clear creek",9088,19.7295136,39.7237078,1.501048,49.5666148
225,"colorado,conejos",8256,22.8770141,43.5946663,1.150109,48.4156548
226,"colorado,costilla",3524,23.3901411,35.038946,0,33.5619855
227,"colorado,crowley",5823,24.9891467,34.9551022,2.4994569,47.8475061
228,"colorado,custer",4255,14.8561858,56.1995936,2.0985892,35.6617988
229,"colorado,delta",30952,18.4438699,48.6767741,1.2873175,45.2704234
230,"colorado,denver",600158,25.7339269,28.1117935,2.4961965,47.7059261
231,"colorado,dolores",2064,0.9693878,94.9489796,0,20.2052944
232,"colorado,douglas",285465,26.4721794,16.1357741,3.3481495,50.8158787
233,"colorado,eagle",52197,1.8276762,79.4778068,0.5221932,42.2398052
235,"colorado,elbert",23086,13.9393939,33.3333333,0,61.2068966
234,"colorado,el paso",622263,15.0731159,67.9415073,0,45.320197
236,"colorado,fremont",46824,14.8055325,44.266705,0.3586259,63.8972122
237,"colorado,garfield",56389,15.0608045,55.8465856,2.1515435,47.5728155
238,"colorado,gilpin",5441,19.9725596,41.4949393,0,56.899647
239,"colorado,grand",14843,23.0215827,38.4892086,0,50.7625272
240,"colorado,gunnison",15324,21.4055794,34.8175966,1.0729614,38.0421314
241,"colorado,hinsdale",843,0,22,0,45
242,"colorado,huerfano",6711,2.2312413,91.8974336,0,33.8605842
243,"colorado,jackson",1394,24.21875,27.34375,0,59.2592593
244,"colorado,jefferson",534543,15.1186053,52.5007145,2.0863104,42.4716855
245,"colorado,kiowa",1398,10.7748184,23.3656174,0,57.5296108
246,"colorado,kit carson",8270,30.3030303,0,0,0
248,"colorado,lake",7310,23.4567901,37.037037,0,38.028169
247,"colorado,la plata",51334,4.8134777,55.388245,0,35.9145527
249,"colorado,larimer",299630,16.0250163,41.6341781,3.0864198,41.8518519
250,"colorado,las animas",15507,0,0,0,14.7540984
251,"colorado,lincoln",5467,23.6057069,29.1828794,1.5564202,45.7413249
252,"colorado,logan",22709,12.7919454,50.2491233,1.0111696,47.112975
253,"colorado,mesa",146723,21.4392245,29.8284862,0.8202834,53.1896173
254,"colorado,mineral",712,34.6938776,0,0,71.7948718
255,"colorado,moffat",13795,5.2486188,24.8618785,0,58.5152838
256,"colorado,montezuma",25535,13.727136,44.5372892,0.9164273,57.526256
257,"colorado,montrose",41276,15.3013755,41.6356392,1.0160282,46.5252299
258,"colorado,morgan",28159,14.39682,48.4935346,0.6366308,49.4555763
259,"colorado,otero",18831,14.0740741,70.1234568,0,33.9005236
260,"colorado,ouray",4436,16.1266569,56.9619746,1.0309278,34.5234253
261,"colorado,park",16206,16.4383562,28.7671233,0,0
262,"colorado,phillips",4442,22.4476984,28.6535033,1.0768478,52.3713399
263,"colorado,pitkin",17148,20.5882353,39.7058824,0,0
264,"colorado,prowers",12551,13.1893785,35.74555,1.2839218,53.6988359
265,"colorado,pueblo",159063,30.8333333,17.5,0,50.9615385
266,"colorado,rio blanco",6666,10.0743141,38.485044,0.7052186,47.7524225
267,"colorado,rio grande",11982,18.3292853,36.8027154,0.9456114,62.8291328
268,"colorado,routt",23509,13.0730822,59.055833,0.5447118,50.974197
269,"colorado,saguache",6108,10.7363148,78.1754955,0,29.8485523
270,"colorado,san juan",699,22.9877656,29.2337412,0.7083065,45.1162791
271,"colorado,san miguel",7359,8.447205,83.3540373,0,27.5725594
272,"colorado,sedgwick",2379,17.2143179,45.9938753,1.7599973,47.1864442
273,"colorado,summit",27994,17.2143179,45.9938753,1.7599973,47.1864442
274,"colorado,teller",23350,17.2143179,45.9938753,1.7599973,47.1864442
275,"colorado,washington",4814,17.2143179,45.9938753,1.7599973,47.1864442
276,"colorado,weld",252825,17.2143179,45.9938753,1.7599973,47.1864442
277,"colorado,yuma",10043,17.2143179,45.9938753,1.7599973,47.1864442
278,"connecticut,fairfield",916829,17.3518594,47.5879009,0.9619293,60.7781392
279,"connecticut,hartford",894014,14.2577212,63.8019747,0,50.6306906
280,"connecticut,litchfield",189927,16.2037037,56.7386831,1.1316872,51.7061886
281,"connecticut,middlesex",165676,3.0674847,81.9018405,0,38.1118881
282,"connecticut,new haven",862477,19.4690266,60.7847098,0,37.0842572
283,"connecticut,new london",274055,1.9458802,91.4259653,0.3648525,36.9024231
284,"connecticut,tolland",152691,17.2143179,45.9938753,1.7599973,47.1864442
285,"connecticut,windham",118428,17.2143179,45.9938753,1.7599973,47.1864442
286,"delaware,kent",162310,23.1605306,38.1529815,1.0066618,50.9755106
287,"delaware,new castle",538479,6.6912216,76.8569675,0,39.2363397
288,"delaware,sussex",197145,17.2143179,45.9938753,1.7599973,47.1864442
289,"district of columbia,washington",NA,17.2143179,45.9938753,1.7599973,47.1864442
290,"florida,alachua",247336,18.6440678,35.5932203,0,0
291,"florida,baker",27115,18.9771051,37.3125687,0.6757896,55.8846612
292,"florida,bay",168852,13.2644035,66.0923839,2.3447286,38.1271384
293,"florida,bradford",28520,9.8182391,60.1958795,0.2471301,51.0176604
294,"florida,brevard",543376,14.7421932,35.5846042,0.9440813,62.8454452
295,"florida,broward",1748066,0,25.8426966,0,54.8387097
296,"florida,calhoun",14625,14.1282565,57.7154309,0,45.9276018
297,"florida,charlotte",159978,19.6909854,32.3434146,3.092144,54.5744325
298,"florida,citrus",141236,22.0905628,27.2534913,1.1002962,54.131618
299,"florida,clay",190865,9.1079102,45.8780979,0.8158101,46.9546703
300,"florida,collier",321520,10.2325581,23.255814,0,57.4074074
301,"florida,columbia",67531,12.5913332,56.3585936,0.9594049,38.0494066
302,"florida,dade",2496435,28.8476809,37.9986441,1.1896361,45.1486564
303,"florida,de soto",NA,22.5136874,44.6662245,0.6455778,51.5178397
304,"florida,dixie",16422,31.361083,28.5770695,1.7458778,56.179533
305,"florida,duval",864263,27.638191,57.7889447,0,38.2857143
306,"florida,escambia",297619,19.7821341,36.6669295,0,55.0979955
307,"florida,flagler",95696,19.5597484,50.5031447,0,61.2055641
308,"florida,franklin",11549,16.1053157,53.6192751,0.8974135,49.1200043
309,"florida,gadsden",46389,16.774272,56.2783501,0.7548487,38.6509692
310,"florida,gilchrist",16939,2.4793388,79.0383171,0,41.8666667
311,"florida,glades",12884,12.4288533,58.4044311,0,47.1833271
312,"florida,gulf",15863,16.8975491,42.7705453,2.1939502,45.8262142
313,"florida,hamilton",14799,11.1505215,67.0695646,1.7811954,38.1062915
314,"florida,hardee",27731,12.393336,61.1743194,0.7517269,55.6130854
315,"florida,hendry",39140,3.9332539,86.8891538,0,26.7924528
316,"florida,hernando",172778,14.7540984,27.8688525,0,47.2
317,"florida,highlands",98786,15.1944265,42.2663909,0.832669,46.7017408
318,"florida,hillsborough",1229226,14.9231735,47.4057672,1.5479751,46.2399485
319,"florida,holmes",19927,7.4906367,65.6835206,1.170412,48.4304933
320,"florida,indian river",138028,20.5428203,39.8042897,0,43.8332419
321,"florida,jackson",49746,27.3782834,27.5145511,1.7677669,54.5373133
322,"florida,jefferson",14761,5.3861452,83.7918462,0.2817368,25.7663339
323,"florida,lafayette",8870,20.7523963,29.1140452,4.9876004,60.0063819
324,"florida,lake",297052,15.4722476,53.1636697,2.9533679,39.3573232
325,"florida,lee",618754,23.2033577,27.5514824,2.7838801,50.3918933
326,"florida,leon",275487,44.3602261,6.2178828,2.5179856,54.2459958
327,"florida,levy",40801,17.0112666,24.3902439,1.3742726,55.3817169
328,"florida,liberty",8365,5.9831065,82.6841858,0.6100422,33.6046807
329,"florida,madison",19224,19.2660153,10.8580019,0,57.6968347
330,"florida,manatee",322833,20.2531646,29.600779,0,42.9398148
331,"florida,marion",331298,10.9289618,61.8479881,0,60.2205882
332,"florida,martin",146318,7.617896,72.7126159,0.9270456,43.4491979
333,"florida,monroe",73090,18.8508333,47.8920096,1.8405131,46.4932009
334,"florida,nassau",73314,0,97.2286374,0,15.8150852
335,"florida,okaloosa:main",NA,16.0829819,32.6603935,2.6193536,50.1713752
336,"florida,okaloosa:spit",NA,13.5150188,33.8020569,0.9561553,54.9591638
337,"florida,okeechobee",39996,31.2030075,39.0977444,0,45.0413223
338,"florida,orange",1145956,15.9840522,28.4523378,1.2323306,60.5456213
339,"florida,osceola",268685,0,0,0,0
340,"florida,palm beach",1320134,1.9676651,90.0990099,0.2255922,27.0958283
341,"florida,pasco",464697,9.97151,60.968661,6.8376068,54.9079755
342,"florida,pinellas",916542,16.393262,35.839537,1.76286,52.7469908
343,"florida,polk",602095,11.625461,56.2722387,0.3709592,58.182048
344,"florida,putnam",74364,9.1226539,60.4975993,0.6547359,58.7700535
348,"florida,st johns",190039,11.2670068,61.4087302,0.4393424,55.0809183
349,"florida,st lucie",277789,13.8116382,44.4028979,1.2152372,58.1564585
345,"florida,santa rosa",151372,17.2143179,45.9938753,1.7599973,47.1864442
346,"florida,sarasota",379448,17.2143179,45.9938753,1.7599973,47.1864442
347,"florida,seminole",422718,17.2143179,45.9938753,1.7599973,47.1864442
350,"florida,sumter",93420,17.2143179,45.9938753,1.7599973,47.1864442
351,"florida,suwannee",41551,17.2143179,45.9938753,1.7599973,47.1864442
352,"florida,taylor",22570,17.2143179,45.9938753,1.7599973,47.1864442
353,"florida,union",15535,17.2143179,45.9938753,1.7599973,47.1864442
354,"florida,volusia",494593,17.2143179,45.9938753,1.7599973,47.1864442
355,"florida,wakulla",30776,17.2143179,45.9938753,1.7599973,47.1864442
356,"florida,walton",55043,17.2143179,45.9938753,1.7599973,47.1864442
357,"florida,washington",24896,17.2143179,45.9938753,1.7599973,47.1864442
358,"georgia,appling",18236,23.0517205,38.0397444,1.6206486,49.5556034
359,"georgia,atkinson",8375,27.1661783,27.4173294,1.7999163,57.1878279
360,"georgia,bacon",11096,23.0769231,25.2747253,0,48.75
361,"georgia,baker",3451,21.9854178,41.4469994,0,64.6596859
362,"georgia,baldwin",45720,27.1786154,20.4763151,0,62.6740066
363,"georgia,banks",18395,8.9506173,44.1358025,0,30.0395257
364,"georgia,barrow",69367,0,83.75,0,42.6540284
365,"georgia,bartow",100157,13.6904762,56.3492064,0,46.969697
366,"georgia,ben hill",17634,1.0890455,93.2948964,0.3630152,36.8251038
367,"georgia,berrien",19286,3.5215006,87.7189878,0.1769598,24.5163691
368,"georgia,bibb",155547,10.0566918,67.7413242,1.0740081,33.5473633
369,"georgia,bleckley",13063,49.1461101,44.9530888,6.2618596,56.2650602
370,"georgia,brantley",18411,10.8796615,59.4354221,3.2922188,39.9411646
371,"georgia,brooks",16243,5.5394836,75.2705454,0.3964427,40.9500309
372,"georgia,bryan",30233,17.3329674,44.0700985,2.0662144,46.5210487
373,"georgia,bulloch",70217,8.0343242,67.9685595,0.4378786,40.220866
374,"georgia,burke",23316,20.2108963,36.4381957,1.9917985,51.4306152
375,"georgia,butts",23655,7.2452229,74.7133758,0.589172,38.5760739
376,"georgia,calhoun",6694,6.9727502,71.8217268,0,27.7189202
377,"georgia,camden",50513,11.3327578,52.9930269,0.7107952,43.3662962
378,"georgia,candler",10998,45.4545455,22.7272727,0,0
379,"georgia,carroll",110527,19.2634561,66.2889518,0,28.6144578
380,"georgia,catoosa",63942,18.6251857,40.9023966,1.8531262,46.824099
381,"georgia,charlton",12171,13.8907507,53.0495979,0.6702413,51.9254155
382,"georgia,chatham",265128,16.8818045,44.6710457,2.6315412,47.7165358
383,"georgia,chattahoochee",11267,9.8006645,58.7958599,0.5457997,48.8992895
384,"georgia,chattooga",26015,17.9758868,36.114605,0.6440281,54.9994905
385,"georgia,cherokee",214346,22.2222222,31.372549,0,55.9055118
386,"georgia,clarke",116714,6.8136273,68.0334353,0,53.5470194
387,"georgia,clay",3183,13.2782369,57.6033058,0.661157,30.4610493
388,"georgia,clayton",259424,50.7598784,12.7659575,0,67.9738562
389,"georgia,clinch",6798,26.1708782,25.5651619,2.99702,48.0226068
390,"georgia,cobb",688078,35.7142857,40.4761905,0,0
391,"georgia,coffee",42356,21,40.5,0,60
392,"georgia,colquitt",45498,16.174345,19.5570852,1.3742726,55.4280848
393,"georgia,columbia",124053,0,0,0,0
394,"georgia,cook",17212,16.9931867,53.0223128,0.601527,44.8399049
395,"georgia,coweta",127317,9.1126678,46.3581626,2.5345622,40.5937928
396,"georgia,crawford",12630,0,0,0,0
397,"georgia,crisp",23439,0,42.8571429,0,0
