"INSTNM","MN_EARN_WNE_P7","MN_EARN_WNE_P6","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","CITY","STABBR","INSTURL","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","LOAN_EVER","CONTROL"
"2289","P B Cosmetology Education Center","20700","19200","20100","23200","21600","Gloucester","NJ","pbbeautyschool.com/","9500","7664","7667","0.956521739","Private"
"2290","Parisian Beauty School","24200","24000","23400","22200","24200","Hackensack","NJ","www.parisianbeautyacademy.com","9500","7440","7000","0.952020202","Private"
"2291","Passaic County Community College","27300","25000","27800","29300","30200","Paterson","NJ","www.pccc.edu","4250","4500","4500","0.076502732","Public"
"2292","Pennco Tech-Blackwood","31400","27400","31600","38200","37100","Blackwood","NJ","www.penncotech.edu","9500","9492","7667","0.91903172","Private"
"2293","Princeton Theological Seminary","PrivacySuppressed","50400","58600","PrivacySuppressed","PrivacySuppressed","Princeton","NJ","www.ptsem.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2294","Princeton University","89600","75600","93200","98600","108600","Princeton","NJ","www.princeton.edu","3437.5","2743","12000","0.260147602","Private"
"2295","Rabbinical College of America","PrivacySuppressed","24700","25000","27900","39000","Morristown","NJ","www.rca.edu/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2296","Ramapo College of New Jersey","44000","40800","48200","48800","48200","Mahwah","NJ","www.ramapo.edu","18750","19000","19004","0.93971468","Public"
"2297","Robert Fiance Beauty Schools-Perth Amboy","20900","17800","18600","17700","20800","Perth Amboy","NJ","www.robertfiance.com","8818","PrivacySuppressed","PrivacySuppressed","0.896153846","Private"
"2298","Rider University","43000","37900","45100","49300","52100","Lawrenceville","NJ","www.rider.edu","20000","22000","20750","0.947532468","Private"
"2299","Roman Academy of Beauty Culture","24000","19900","27100","23500","24800","Hawthorne","NJ","ROMANACADEMY.NET","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2300","Rutgers University-Camden","52800","45400","54700","58700","62600","Camden","NJ","www.rutgers.edu","18646","20500","19000","0.855919003","Public"
"2301","Rutgers University-New Brunswick","52800","45400","54700","58700","62600","New Brunswick","NJ","www.rutgers.edu/","18646","20500","19000","0.855919003","Public"
"2302","Rutgers University-Newark","52800","45400","54700","58700","62600","Newark","NJ","www.rutgers.edu","18646","20500","19000","0.855919003","Public"
"2303","St Francis Medical Center-School of Radiologic Technology","PrivacySuppressed","NULL","NULL","PrivacySuppressed","NULL","Trenton","NJ","www.stfrancismedical.org/Education/School-of-Radiologic-Technology.aspx","NULL","NULL","NULL","PrivacySuppressed","Private"
"2304","Saint Francis Medical Center School of Nursing","PrivacySuppressed","NULL","NULL","PrivacySuppressed","NULL","Trenton","NJ","www.stfrancismedical.org/Education/School-of-Nursing.aspx","NULL","NULL","NULL","PrivacySuppressed","Private"
"2305","Saint Peter's University","39100","35400","42600","45800","46900","Jersey City","NJ","www.saintpeters.edu","16600","20000","16682.5","0.71969697","Private"
"2306","Salem Community College","28300","29300","29100","31000","29800","Carneys Point","NJ","www.salemcc.edu","6500","7000","6500","0.301324503","Public"
"2307","Seton Hall University","51900","48500","53400","56600","59500","South Orange","NJ","www.shu.edu","21500","20000","17750","0.8844","Private"
"2308","Atlantic Beauty & Spa Academy LLC","20500","15500","16100","19700","PrivacySuppressed","Egg Harbor Township","NJ","www.shorebeautyschool.com","9000","PrivacySuppressed","PrivacySuppressed","0.858823529","Private"
"2309","College of Saint Elizabeth","43800","34100","42700","45300","46800","Morristown","NJ","www.cse.edu","16000","19756","14250","0.920374707","Private"
"2310","Raritan Valley Community College","37400","32200","40100","39100","41400","Branchburg","NJ","www.raritanval.edu","4500","4500","5500","0.304452467","Public"
"2311","Stevens Institute of Technology","70600","59700","73900","86000","88600","Hoboken","NJ","www.stevens.edu","26500","28062.5","26125","0.959627329","Private"
"2312","Stockton University","42600","34900","43300","46800","48300","Galloway","NJ","www.stockton.edu","18750","19000","17500","0.892102336","Public"
"2313","Talmudical Academy-New Jersey","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Adelphia","NJ","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2314","Teterboro School of Aeronautics","49900","46100","54700","48300","51500","Teterboro","NJ","www.teterboroschool.com","12000","12000","12000","PrivacySuppressed","Private"
"2315","Thomas Edison State University","50300","50400","57400","56700","54500","Trenton","NJ","www.tesc.edu","6403","7350","8909","0.764936886","Public"
"2316","The College of New Jersey","50600","44800","53300","58600","60400","Ewing","NJ","www.tcnj.edu","19000","23000","22000","0.876952201","Public"
"2317","Sanford-Brown Institute-Iselin","28900","25900","30100","30700","29700","Iselin","NJ","www.sanfordbrown.edu/iselin","9499","9500","8239","0.854899028","Private"
"2318","Union County College","31800","29400","32600","36300","36100","Cranford","NJ","www.ucc.edu","5250","5500","5500","0.243491076","Public"
"2319","William Paterson University of New Jersey","39100","35100","41900","45200","45500","Wayne","NJ","www.wpunj.edu","18250","19000","17863.5","0.881567029","Public"
"2320","Olympian Academy of Cosmetology","15300","18800","18700","17100","20500","Alamogordo","NM","www.olympianuniversity.com","7630.5","9500","10431","0.830635838","Private"
"2321","Central New Mexico Community College","28300","26700","30300","32800","33100","Albuquerque","NM","www.cnm.edu","5800","5228.5","3666","0.253407033","Public"
"2322","Navajo Technical University","17900","16200","18700","20900","20500","Crownpoint","NM","www.navajotech.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"2323","De Wolff College Hair Styling and Cosmetology","19100","15400","18300","19000","19100","Albuquerque","NM","www.dewolffcollege.net","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.75308642","Private"
"2324","New Mexico State University-Dona Ana","33400","28500","34000","37100","38100","Las Cruces","NM","dacc.nmsu.edu/","10465","11000","11487","0.496347607","Public"
"2325","Clovis Community College","26200","24300","27400","29000","29900","Clovis","NM","www.clovis.edu","4293","4500","4375","0.129135539","Public"
"2326","Eastern New Mexico University-Main Campus","28400","27500","30100","31700","33300","Portales","NM","www.enmu.edu","8000","10241","7500","0.418628455","Public"
"2327","Eastern New Mexico University-Roswell Campus","28400","27500","30100","31700","33300","Roswell","NM","www.roswell.enmu.edu","8000","10241","7500","0.418628455","Public"
"2328","Institute of American Indian and Alaska Native Culture","PrivacySuppressed","17700","PrivacySuppressed","22600","24800","Santa Fe","NM","www.iaia.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"2329","New Mexico Highlands University","32200","27000","32400","35700","35900","Las Vegas","NM","www.nmhu.edu","8500","8485","7250","0.5625966","Public"
"2330","New Mexico Junior College","30200","30600","35600","32000","36300","Hobbs","NM","www.nmjc.edu","5159.5","4611","5000","0.210233593","Public"
"2331","New Mexico Military Institute","40500","32200","36400","41800","48700","Roswell","NM","www.nmmi.edu","6500","5176","5500","0.505084746","Public"
"2332","University of New Mexico-Gallup Campus","35700","32000","37200","39800","42000","Gallup","NM","www.gallup.unm.edu","13622","14000","12000","0.537901633","Public"
"2333","New Mexico Institute of Mining and Technology","49700","46200","48900","56300","61000","Socorro","NM","www.nmt.edu","9445","8184","10900","0.732510288","Public"
"2334","University of New Mexico-Los Alamos Campus","35700","32000","37200","39800","42000","Los Alamos","NM","losalamos.unm.edu","13622","14000","12000","0.537901633","Public"
"2335","University of New Mexico-Main Campus","35700","32000","37200","39800","42000","Albuquerque","NM","www.unm.edu","13622","14000","12000","0.537901633","Public"
"2336","New Mexico State University-Alamogordo","33400","28500","34000","37100","38100","Alamogordo","NM","nmsua.edu","10465","11000","11487","0.496347607","Public"
"2337","New Mexico State University-Carlsbad","33400","28500","34000","37100","38100","Carlsbad","NM","carlsbad.nmsu.edu","10465","11000","11487","0.496347607","Public"
"2338","New Mexico State University-Grants","33400","28500","34000","37100","38100","Grants","NM","grants.nmsu.edu/","10465","11000","11487","0.496347607","Public"
"2339","New Mexico State University-Main Campus","33400","28500","34000","37100","38100","Las Cruces","NM","www.nmsu.edu/","10465","11000","11487","0.496347607","Public"
"2340","University of New Mexico-Valencia County Campus","35700","32000","37200","39800","42000","Los Lunas","NM","vc.unm.edu/","13622","14000","12000","0.537901633","Public"
"2341","Northern New Mexico College","29000","25100","27300","30700","32100","Espanola","NM","nnmc.edu","4500","4175","2750","0.141683778","Public"
"2342","San Juan College","31300","29800","31900","35500","37700","Farmington","NM","www.sanjuancollege.edu","5780","5667","4963","0.209450402","Public"
"2343","Santa Fe Community College","29900","28900","30600","30800","34400","Santa Fe","NM","www.sfcc.edu","10778.5","9260","10000","0.18930547","Public"
"2344","Santa Fe University of Art and Design","35300","32500","37100","38400","40700","Santa Fe","NM","www.santafeuniversity.edu","10500","9750","11346","0.933098592","Private"
"2345","University of the Southwest","35700","30800","37800","45800","48400","Hobbs","NM","www.usw.edu","9770","9500","10708.5","0.88372093","Private"
"2346","Southwestern College","NULL","NULL","NULL","NULL","NULL","Santa Fe","NM","www.swc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"2347","Southwestern Indian Polytechnic Institute","19100","18200","20100","21800","21200","Albuquerque","NM","www.sipi.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"2348","University of New Mexico-Taos Campus","35700","32000","37200","39800","42000","Ranchos de Taos","NM","taos.unm.edu/index.html","13622","14000","12000","0.537901633","Public"
"2349","Mesalands Community College","24100","21600","29900","21700","24200","Tucumcari","NM","www.mesalands.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"2350","Vogue College of Cosmetology-Santa Fe","NULL","NULL","NULL","NULL","NULL","Santa Fe","NM","voguebeautycollege.com","9500","PrivacySuppressed","PrivacySuppressed","0.888888889","Private"
"2351","Western New Mexico University","29000","26000","31300","34600","35800","Silver City","NM","www.wnmu.edu","9931","10750","9890.5","0.633165829","Public"
"2352","Vaughn College of Aeronautics and Technology","43800","47300","50000","51300","53600","Flushing","NY","www.vaughn.edu","14250","12375","11125","0.740705434","Private"
"2353","Adelphi University","50000","47800","53700","51800","54200","Garden City","NY","www.adelphi.edu/","22705.5","22935","19500","0.904606794","Private"
"2354","Adirondack Community College","28900","27300","30000","34700","33500","Queensbury","NY","WWW.SUNYACC.EDU","6216","7047","5579.5","0.648528819","Public"
"2355","Globe Institute of Technology","24400","23600","22800","37100","37500","New York","NY","www.globe.edu/index.asp","4869","5500","5500","0.457142857","Private"
"2356","Bryant & Stratton College-Albany","22200","23000","23600","23700","24300","Albany","NY","www.bryantstratton.edu/","9500","13385.5","12950","0.876810697","Private"
"2357","Albany College of Pharmacy and Health Sciences","110100","100900","106500","103500","104300","Albany","NY","www.acphs.edu","25000","22437.5","23000","0.982547993","Private"
"2358","Albany Law School","70600","69800","82800","76500","77400","Albany","NY","www.albanylaw.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"2359","Albany Medical College","114900","108200","142000","159600","217700","Albany","NY","www.amc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"2360","Alfred University","36900","32400","38600","45500","46600","Alfred","NY","www.alfred.edu","19351.5","24787.5","21500","0.975560082","Private"
"2361","Allen School-Brooklyn","28400","23400","27700","27300","29200","Brooklyn","NY","www.allenschool.edu","9447","9500","11259","0.913118034","Private"
"2362","The Ailey School","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","New York","NY","www.theaileyschool.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2363","American Academy of Dramatic Arts-New York","34700","23300","32800","32000","35300","New York","NY","www.aada.edu","12000","9500","8500","0.903073286","Private"
"2364","American Academy McAllister Institute of Funeral Service","43300","41700","38100","42300","40200","New York","NY","www.funeraleducation.org","6300","10425","11600","0.902743142","Private"
"2365","Joffrey Ballet School","PrivacySuppressed","NULL","NULL","PrivacySuppressed","NULL","New York","NY","www.joffreyballetschool.com","PrivacySuppressed","PrivacySuppressed","5750","PrivacySuppressed","Private"
"2366","American Musical and Dramatic Academy","26400","23300","28300","29700","32000","New York","NY","www.amda.edu","12000","12000","12000","0.975116641","Private"
"2367","Apex Technical School","32000","27600","32800","38200","37500","Long Island City","NY","www.apextechnical.com","9500","9500","5500","0.826955075","Private"
"2368","Arnot Ogden Medical Center","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44600","Elmira","NY","www.aomc.org","16500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2369","Associated Beth Rivkah Schools","17100","18200","PrivacySuppressed","18900","18000","Brooklyn","NY","dhl.bethrivkah.edu/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2370","Austin's School of Spa Technology","21400","17700","19100","19400","21800","Albany","NY","www.austin.edu","4750","5531.5","3707","0.883895131","Private"
"2371","Bank Street College of Education","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","New York","NY","www.bankstreet.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"2372","Bard College","29700","28100","33700","35100","41100","Annandale-On-Hudson","NY","www.bard.edu","18625","21000","19750","0.941091954","Private"
"2373","Barnard College","51200","46400","51200","65300","71400","New York","NY","www.barnard.edu","15500","17500","14787.5","0.885714286","Private"
"2374","Berk Trade and Business School","32300","29900","38700","41100","40900","Long Island City","NY","www.berktradeschool.com","6333","6333","5480.5","0.896825397","Private"
"2375","Berkeley College-New York","38400","32800","38500","40900","42300","New York","NY","www.BerkeleyCollege.edu","12992","16709","15999","0.909255898","Private"
"2376","Beth Hatalmud Rabbinical College","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Brooklyn","NY","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2377","Beth Hamedrash Shaarei Yosher Institute","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Brooklyn","NY","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2378","Phillips Beth Israel School of Nursing","78600","72500","81300","PrivacySuppressed","PrivacySuppressed","New York","NY","www.pbisn.edu","14763.5","16500","15375","0.920454546","Private"
"2379","Hair Design Institute at Fifth Avenue-Brooklyn","20700","19500","21600","23200","20900","Brooklyn","NY","hairdesigninstitute.edu","7524","7412","5500","0.841880342","Private"
"2380","Boricua College","31300","24500","30100","31600","33400","New York","NY","boricuacollege.edu","4500","PrivacySuppressed","PrivacySuppressed","0.055724417","Private"
"2381","Bramson ORT College","27900","22100","26700","34700","32300","Forest Hills","NY","bramsonort.edu","5250","PrivacySuppressed","PrivacySuppressed","0.183890578","Private"
"2382","Briarcliffe College","36100","29100","36100","41000","42300","Bethpage","NY","www.briarcliffe.edu","14750","19588.5","16938","0.902453621","Private"
"2383","Brittany Beauty School","20600","18100","22000","26300","23900","Levittown","NY","https://www.BrittanyBeautySchool.com","7798","7186","5500","0.84675835","Private"
"2384","American Beauty School","NULL","17600","PrivacySuppressed","NULL","PrivacySuppressed","Bronx","NY","www.americanbeautyschool.com","2779","PrivacySuppressed","PrivacySuppressed","0.74863388","Private"
"2385","Brooklyn Law School","113000","100200","119400","111900","121700","Brooklyn","NY","www.brooklaw.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2386","SUNY Broome Community College","28900","25800","29900","32500","33600","Binghamton","NY","WWW.SUNYBROOME.EDU","5500","6609","5500","0.721683674","Public"
"2387","Bryant & Stratton College-Amherst","22200","23000","23600","23700","24300","Getzville","NY","www.bryantstratton.edu","9500","13385.5","12950","0.876810697","Private"
"2388","Bryant & Stratton College-Syracuse North","22200","23000","23600","23700","24300","Liverpool","NY","www.bryantstratton.edu/","9500","13385.5","12950","0.876810697","Private"
"2389","Bryant & Stratton College-Syracuse","22200","23000","23600","23700","24300","Syracuse","NY","www.bryantstratton.edu","9500","13385.5","12950","0.876810697","Private"
"2390","Bryant & Stratton College-Buffalo","22200","23000","23600","23700","24300","Buffalo","NY","www.bryantstratton.edu","9500","13385.5","12950","0.876810697","Private"
"2391","Bryant & Stratton College-Greece","22200","23000","23600","23700","24300","Rochester","NY","www.bryantstratton.edu","9500","13385.5","12950","0.876810697","Private"
"2392","Business Informatics Center Inc","26500","24600","26300","29500","30200","Valley Stream","NY","www.thecollegeforbusiness.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2393","Canisius College","40500","35400","42200","47800","49900","Buffalo","NY","WWW.Canisius.edu","17875","21500","20312.5","0.932189543","Private"
"2394","Capri Cosmetology Learning Centers","22600","20700","25000","28400","26300","Nanuet","NY","Caprinow.com","7435","5500","5500","0.856097561","Private"
"2395","St Paul's School of Nursing-Queens","74900","76500","74900","80900","78300","Rego Park","NY","stpaulsschoolofnursing.com","17155","20000","16813","0.937062937","Private"
"2396","Cayuga County Community College","28500","25600","29900","32800","33700","Auburn","NY","www.cayuga-cc.edu/","6250","7052","6600","0.635403979","Public"
"2397","Cazenovia College","31100","28700","33700","30300","34700","Cazenovia","NY","www.cazenovia.edu","15000","14500","19500","0.960170697","Private"
"2398","Central Yeshiva Tomchei Tmimim Lubavitz","27600","19600","29600","35000","37300","Brooklyn","NY","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2399","Cheryl Fells School of Business","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Niagara Falls","NY","www.cherylfell.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2400","Christ the King Seminary","NULL","NULL","NULL","NULL","NULL","East Aurora","NY","www.cks.edu","NULL","NULL","NULL","PrivacySuppressed","Private"
"2401","Christine Valmy International School for Esthetics  Skin Care & Makeup","NULL","NULL","NULL","NULL","NULL","New York","NY","www.christinevalmy.com","4451","PrivacySuppressed","PrivacySuppressed","0.865771812","Private"
"2402","Circle in the Square Theater School","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","New York","NY","www.circlesquare.org","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2403","Clarkson University","57300","52400","61900","66500","69700","Potsdam","NY","www.clarkson.edu","23343.5","26000","23531","0.969476744","Private"
"2404","Clinton Community College","30100","27300","30100","32900","34600","Plattsburgh","NY","www.clinton.edu","7125","6899.5","5958.5","0.604226705","Public"
"2405","Cochran School of Nursing","80000","72300","76100","91100","83800","Yonkers","NY","www.cochranschoolofnursing.us","PrivacySuppressed","18743","PrivacySuppressed","PrivacySuppressed","Private"
"2406","Colgate Rochester Crozer Divinity School","PrivacySuppressed","NULL","NULL","NULL","NULL","Rochester","NY","www.crcds.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"2407","Colgate University","55300","49300","62600","75200","76500","Hamilton","NY","www.colgate.edu","8500","13500","16437.5","0.866666667","Private"
"2408","Metropolitan College of New York","36500","32600","33700","40600","40300","New York","NY","www.mcny.edu","20378","23500","9500","0.922235723","Private"
"2409","Columbia University in the City of New York","89100","77000","92100","95500","101400","New York","NY","www.columbia.edu","25000","19500","15000","0.724899598","Private"
"2410","Columbia-Greene Community College","31800","27200","32300","35000","37000","Hudson","NY","www.sunycgcc.edu","6000","5500","7000","0.42974359","Public"
"2411","Empire Beauty School-Queens","18700","19200","18600","19500","19200","Astoria","NY","www.empire.edu","7137","7665","8300","0.796516691","Private"
"2412","Concordia College-New York","40300","35500","44700","46200","47800","Bronxville","NY","www.concordia-ny.edu","21000","24250","23335","0.897703549","Private"
"2413","Continental School of Beauty Culture-Buffalo","18200","18100","20100","20800","20300","Buffalo","NY","www.continentalnow.com","8025","6333","5388.5","0.897727273","Private"
"2414","Continental School of Beauty Culture-Batavia","17500","15300","16700","18900","17700","Batavia","NY","www.continentalnow.com","8500","PrivacySuppressed","PrivacySuppressed","0.883597884","Private"
"2415","Continental School of Beauty Culture-Rochester","20000","18200","20400","20900","21200","Rochester","NY","www.continentalnow.com","6750","6333","5474.5","0.89373814","Private"
"2416","Cooper Union for the Advancement of Science and Art","49800","41100","53600","66100","61500","New York","NY","www.cooper.edu","18641","15950","18500","0.482517483","Private"
"2417","Cornell University","78500","66300","81200","88900","95700","Ithaca","NY","www.cornell.edu","6448","9900","13331.5","0.780706837","Private"
"2418","Weill Cornell Medical College","78500","66300","81200","88900","95700","New York","NY","www.med.cornell.edu","6448","9900","13331.5","0.780706837","Private"
"2419","Corning Community College","30000","27100","31000","33800","33500","Corning","NY","www.corning-cc.edu/","6760","8122.5","6500","0.69467028","Public"
"2420","Pomeroy College of Nursing at Crouse Hospital","49900","48200","50300","52800","51900","Syracuse","NY","www.crouse.org/nursing","17500","PrivacySuppressed","PrivacySuppressed","0.933579336","Private"
"2421","Culinary Institute of America","39700","35800","40200","42400","46300","Hyde Park","NY","www.ciachef.edu","14228.5","12000","12000","0.940182648","Private"
"2422","CUNY Bernard M Baruch College","50200","43500","52400","56300","60500","New York","NY","www.baruch.cuny.edu","7500","7784","11000","0.202468681","Public"
"2423","CUNY Borough of Manhattan Community College","33000","28200","34000","36900","38200","New York","NY","www.bmcc.cuny.edu/","5000","5447.5","5500","0.097019253","Public"
"2424","CUNY Bronx Community College","32300","26600","33600","34600","35700","Bronx","NY","www.bcc.cuny.edu","5985","5397","5350","0.098977811","Public"
"2425","CUNY Brooklyn College","40400","34100","41400","47800","50000","Brooklyn","NY","www.brooklyn.cuny.edu","6700","8500","11500","0.24662056","Public"
"2426","College of Staten Island CUNY","37700","32600","39800","44300","45600","Staten Island","NY","www.csi.cuny.edu","6000","7500","10480.5","0.299982101","Public"
"2427","CUNY City College","40300","34500","42200","46400","50600","New York","NY","www.ccny.cuny.edu","7500","10000","12000","0.239681939","Public"
"2428","CUNY Graduate School and University Center","PrivacySuppressed","43800","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","New York","NY","www.gc.cuny.edu","5500","8730","9500","0.527692308","Public"
"2429","CUNY Hostos Community College","30800","26700","30800","32600","34400","Bronx","NY","www.hostos.cuny.edu","4500","5000","4986","0.087256494","Public"
"2430","CUNY Hunter College","40700","36000","43100","46200","48400","New York","NY","www.hunter.cuny.edu","7000","9999","11000","0.245415138","Public"
"2431","CUNY John Jay College of Criminal Justice","39200","32600","40800","47800","47500","New York","NY","www.jjay.cuny.edu","6200","9864","10914","0.215751263","Public"
"2432","CUNY Kingsborough Community College","33600","28100","34500","38400","40200","Brooklyn","NY","www.kbcc.cuny.edu","4592","4375","5500","0.110409431","Public"
"2433","CUNY LaGuardia Community College","31600","28100","32900","35900","36200","Long Island City","NY","www.lagcc.cuny.edu","4499.5","3500","3500","0.079282681","Public"
"2434","CUNY Lehman College","39800","34700","40600","44400","44200","Bronx","NY","www.lehman.cuny.edu","6500","7750","11000","0.274368231","Public"
"2435","CUNY Medgar Evers College","33900","28700","33400","37600","37900","Brooklyn","NY","www.mec.cuny.edu","5250","5500","6750","0.19494008","Public"
"2436","CUNY New York City College of Technology","35700","30900","37100","39800","41600","Brooklyn","NY","www.citytech.cuny.edu","6901","6000","7469","0.125772732","Public"
"2437","CUNY Queens College","42000","34400","44600","48700","50600","Queens","NY","www.qc.cuny.edu","7500","7950","9877","0.22957265","Public"
"2438","CUNY Queensborough Community College","33500","28400","35400","38800","40700","Bayside","NY","www.qcc.cuny.edu","4750","4751","5500","0.101101676","Public"
"2439","CUNY School of Law","79600","59700","77700","63700","77100","Long Island City","NY","www.law.cuny.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"2440","CUNY York College","37100","32500","38400","39900","41600","Jamaica","NY","www.york.cuny.edu","5500","6750","7950","0.142411348","Public"
"2441","CVPH Medical Center School of Radiologic Technology","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Plattsburgh","NY","www.cvph.org/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2442","D'Youville College","48900","43500","47200","51800","53900","Buffalo","NY","www.dyc.edu","21113","21500","19000","0.92872807","Private"
"2443","Daemen College","40400","39200","42100","45500","44100","Amherst","NY","www.daemen.edu","11197","16750","15459","0.906321401","Private"
"2444","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary","NULL","NULL","NULL","NULL","NULL","Far Rockaway","NY","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"2445","Dominican College of Blauvelt","44300","42500","45500","51300","52600","Orangeburg","NY","www.dc.edu","15250","18346","18500","0.945285215","Private"
"2446","Dowling College","39900","34200","41300","46900","46700","Oakdale","NY","WWW.DOWLING.EDU","18887.5","22280","19500","0.902564103","Private"
"2447","Dutchess Community College","31600","28700","32900","35800","37700","Poughkeepsie","NY","www.sunydutchess.edu","5500","5500","5500","0.560335196","Public"
"2448","Belanger School of Nursing","52100","44900","46900","PrivacySuppressed","59700","Schenectady","NY","ellisbelangerschoolofnursing.org","12591","PrivacySuppressed","PrivacySuppressed","0.828571429","Private"
"2449","Elmira Business Institute","20700","18400","20700","22400","22800","Elmira","NY","www.ebi-college.com","12421","18288","12875","0.858914729","Private"
"2450","Elmira College","38900","35300","39500","45200","45600","Elmira","NY","www.elmira.edu","15000","26021","24250","0.958579882","Private"
"2451","Erie Community College","30000","27300","31700","33900","35600","Buffalo","NY","www.ecc.edu","4158.5","5250","5500","0.430218592","Public"
"2452","Fashion Institute of Technology","43100","39300","45300","46500","50500","New York","NY","www.fitnyc.edu","15500","16055","16000","0.752355316","Public"
"2453","Finger Lakes Community College","28000","25800","30400","31200","31000","Canandaigua","NY","www.flcc.edu","7814","7992","7601","0.677256115","Public"
"2454","Five Towns College","30600","25700","31700","36700","37800","Dix Hills","NY","www.ftc.edu","19306","20000","19750","0.841040462","Private"
"2455","Fordham University","51000","45000","53400","60700","64400","Bronx","NY","www.fordham.edu","16927","22000","23250","0.887256468","Private"
"2456","The International Culinary Center","40600","32700","38200","46000","45900","New York","NY","www.internationalculinarycenter.com","6333","6333","2333","0.919821826","Private"
"2457","Fulton-Montgomery Community College","29700","27500","29900","32300","33400","Johnstown","NY","fmcc.edu","9000","8250","7950","0.609284333","Public"
"2458","Gemological Institute of America-New York","41100","38900","42100","42000","45100","New York","NY","www.gia.edu/gem-education","8233","9266","6016.5","0.919117647","Private"
"2459","The General Theological Seminary","PrivacySuppressed","NULL","NULL","PrivacySuppressed","NULL","New York","NY","WWW.GTS.EDU","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"2460","Genesee Community College","28200","25700","29500","31500","32700","Batavia","NY","www.genesee.edu","5774.5","6174","6000","0.536508931","Public"
"2461","Gloria Francis School of Make-Up Artistry","NULL","NULL","NULL","NULL","NULL","Hicksville","NY","https://www.brittanybeautyschool.com/","4134","PrivacySuppressed","PrivacySuppressed","0.791666667","Private"
"2462","Hamilton College","55400","44000","57900","64800","72600","Clinton","NY","www.hamilton.edu","12250","15000","15031.5","0.887804878","Private"
"2463","Hartwick College","37400","35900","40400","48500","46600","Oneonta","NY","www.hartwick.edu/","21500","20000","19500","0.9738041","Private"
"2464","Helene Fuld College of Nursing","83700","73100","79800","82400","80000","New York","NY","www.helenefuld.edu","12750","13750","12521","0.920863309","Private"
